,ano,turma,matricula,nota,situacao
0,2018.1,05C,20160143171,3.9,REPROVADO
1,2018.1,05C,20150125394,6.0,APROVADO POR NOTA
2,2018.1,05C,20160107569,0.0,REPROVADO
3,2018.1,05C,20170115706,10.0,APROVADO
4,2018.1,05C,20170115887,5.2,APROVADO POR NOTA
5,2018.1,05C,20170115582,3.0,REPROVADO
6,2018.1,05C,20170118388,6.7,APROVADO POR NOTA
7,2018.1,05C,20170138110,6.3,APROVADO POR NOTA
8,2018.1,05C,2016093120,4.7,REPROVADO
9,2018.1,05C,20170035258,8.7,APROVADO
10,2018.1,05C,20170039337,6.9,APROVADO POR NOTA
11,2018.1,05C,20170036854,1.1,REPROVADO
12,2018.1,05C,20160143841,0.8,REPROVADO
13,2018.1,05C,20170002490,6.1,APROVADO POR NOTA
14,2018.1,05C,20170117246,9.1,APROVADO
15,2018.1,05C,2016022497,2.0,REPROVADO
16,2018.1,05C,20170031894,1.8,REPROVADO
17,2018.1,05C,20170043151,0.1,REPROVADO
18,2018.1,05C,20170138317,5.0,APROVADO POR NOTA
19,2018.1,05C,20170139252,0.3,REPROVADO
20,2018.1,05C,20170117442,3.4,REPROVADO
21,2018.1,05C,20170139397,2.0,REPROVADO
22,2018.1,05C,20160146861,1.8,REPROVADO
23,2018.1,05C,20170117747,8.1,APROVADO
24,2018.1,05C,20160143770,2.2,REPROVADO
25,2018.1,05C,20170045058,5.0,APROVADO POR NOTA
26,2018.1,05C,20170040516,3.6,REPROVADO
27,2018.1,05C,20170117863,7.2,APROVADO
28,2018.1,05C,20170044112,0.7,REPROVADO
29,2018.1,02D,20170147334,8.6,APROVADO
30,2018.1,02D,20170147488,0.9,REPROVADO
31,2018.1,02D,20170044810,4.1,REPROVADO
32,2018.1,02D,20170040650,6.7,APROVADO POR NOTA
33,2018.1,02D,20170032013,8.5,APROVADO
34,2018.1,02D,20170115680,8.5,APROVADO
35,2018.1,02D,20170043492,9.5,APROVADO
36,2018.1,02D,20170137919,9.2,APROVADO
37,2018.1,02D,2016012795,8.1,APROVADO
38,2018.1,02D,2016012759,6.1,APROVADO POR NOTA
39,2018.1,02D,2016022110,5.6,APROVADO POR NOTA
40,2018.1,02D,20170042815,9.6,APROVADO
41,2018.1,02D,20170030959,8.2,APROVADO
42,2018.1,02D,20170138630,3.7,REPROVADO
43,2018.1,02D,2016097620,7.2,APROVADO
44,2018.1,02D,20170033558,2.3,REPROVADO
45,2018.1,02D,20170037350,4.2,REPROVADO
46,2018.1,02D,20170183297,1.6,REPROVADO
47,2018.1,01B,20170183260,9.1,APROVADO
48,2018.1,01B,20170116768,8.5,APROVADO
49,2018.1,01B,20170031132,9.7,APROVADO
50,2018.1,01B,20170138611,6.2,APROVADO POR NOTA
51,2018.1,01B,20170137660,7.3,APROVADO
52,2018.1,01B,20170115260,7.7,APROVADO
53,2018.1,01B,20170138326,9.2,APROVADO
54,2018.1,01B,20170138228,5.6,APROVADO POR NOTA
55,2018.1,01B,20170114683,7.4,APROVADO
56,2018.1,01B,20170137946,5.1,APROVADO POR NOTA
57,2018.1,01B,20170137893,6.8,APROVADO POR NOTA
58,2018.1,01B,20170117587,0.3,REPROVADO
59,2018.1,01B,20170147399,3.3,REPROVADO
60,2018.1,01B,20170115564,7.0,APROVADO
61,2018.1,01B,20170137740,6.4,APROVADO POR NOTA
62,2018.1,01B,20170030879,5.5,APROVADO POR NOTA
63,2018.1,01B,20170116605,5.4,APROVADO POR NOTA
64,2018.1,01B,20170117907,7.1,APROVADO
65,2018.1,01B,20170040418,9.3,APROVADO
66,2018.1,01B,20170117961,9.4,APROVADO
67,2018.1,01B,20170035810,9.7,APROVADO
68,2018.1,01B,20170042510,6.3,APROVADO POR NOTA
69,2018.1,01B,20170114843,7.0,APROVADO
70,2018.1,01B,20170118000,8.1,APROVADO
71,2018.1,01B,2015018515,0.0,REPROVADO POR MÉDIA E POR FALTAS
72,2018.1,05B,20170137982,3.3,REPROVADO
73,2018.1,05B,20170011102,8.8,APROVADO
74,2018.1,05B,20170116964,7.3,APROVADO
75,2018.1,05B,20170038250,6.6,APROVADO POR NOTA
76,2018.1,05B,20170118207,0.3,REPROVADO
77,2018.1,05B,20160143609,0.0,REPROVADO
78,2018.1,05B,20170117522,7.7,APROVADO
79,2018.1,05B,20170138980,7.1,APROVADO
80,2018.1,05B,20170178804,7.7,APROVADO
81,2018.1,05B,20170115223,1.4,REPROVADO
82,2018.1,05B,20170117569,1.9,REPROVADO
83,2018.1,05B,2016013077,6.4,APROVADO POR NOTA
84,2018.1,05B,20170183368,0.7,REPROVADO
85,2018.1,05B,20170138415,8.0,APROVADO
86,2018.1,05B,20170030912,6.5,APROVADO POR NOTA
87,2018.1,05B,20170037655,7.1,APROVADO
88,2018.1,05B,20170117326,7.3,APROVADO
89,2018.1,05B,20160142835,6.8,APROVADO POR NOTA
90,2018.1,05B,20170115840,1.8,REPROVADO
91,2018.1,05B,20170138246,7.7,APROVADO
92,2018.1,05B,20150126865,5.7,APROVADO POR NOTA
93,2018.1,05B,20170039598,6.9,APROVADO POR NOTA
94,2018.1,05B,20170138344,7.4,APROVADO
95,2018.1,05B,20170118440,3.1,REPROVADO
96,2018.1,05B,20170033413,1.7,REPROVADO
97,2018.1,05B,20170100857,0.3,REPROVADO
98,2018.1,05B,20170038779,6.4,APROVADO POR NOTA
99,2018.1,05B,20170040777,1.4,REPROVADO
100,2018.1,05B,20170148716,2.1,REPROVADO
101,2018.1,05B,20180008011,9.3,APROVADO
102,2018.1,04C,20150122570,8.4,APROVADO
103,2018.1,04C,20160158192,5.4,APROVADO POR NOTA
104,2018.1,04C,20170116383,6.9,APROVADO POR NOTA
105,2018.1,04C,20170035276,5.8,APROVADO POR NOTA
106,2018.1,04C,20170031670,6.5,APROVADO POR NOTA
107,2018.1,04C,20170133811,1.2,REPROVADO
108,2018.1,04C,20170041872,6.5,APROVADO POR NOTA
109,2018.1,04C,20170133698,0.7,REPROVADO
110,2018.1,04C,2015013090,3.5,REPROVADO
111,2018.1,04C,2015094894,1.3,REPROVADO
112,2018.1,04C,20160158423,6.5,APROVADO POR NOTA
113,2018.1,04C,20160109044,6.7,APROVADO POR NOTA
114,2018.1,04C,20170045352,0.3,REPROVADO
115,2018.1,04C,2015093510,6.6,APROVADO POR NOTA
116,2018.1,04C,20160109062,1.0,REPROVADO
117,2018.1,04C,20170138881,6.2,APROVADO POR NOTA
118,2018.1,04C,20160142020,7.5,APROVADO
119,2018.1,04C,2016092007,3.5,REPROVADO
120,2018.1,04C,20160154139,0.0,REPROVADO
121,2018.1,04C,20170041433,1.7,REPROVADO
122,2018.1,04C,2014096268,0.0,REPROVADO
123,2018.1,04C,20170148242,4.5,REPROVADO
124,2018.1,05D,20160146235,5.0,APROVADO POR NOTA
125,2018.1,05D,20170037190,0.3,REPROVADO
126,2018.1,05D,20170139234,0.2,REPROVADO
127,2018.1,05D,20160158530,4.7,REPROVADO
128,2018.1,05D,20170043975,1.0,REPROVADO
129,2018.1,05D,2016019197,1.2,REPROVADO
130,2018.1,05D,20170039079,5.9,APROVADO POR NOTA
131,2018.1,05D,20170137650,7.0,APROVADO
132,2018.1,05D,2014096375,5.5,APROVADO POR NOTA
133,2018.1,05D,20170139323,0.5,REPROVADO
134,2018.1,05D,20170102154,4.6,REPROVADO
135,2018.1,05D,2015002408,0.0,REPROVADO
136,2018.1,05D,2016018814,1.2,REPROVADO
137,2018.1,05D,20170138756,6.4,APROVADO POR NOTA
138,2018.1,05D,2016020090,7.9,APROVADO
139,2018.1,05D,20170041110,0.0,REPROVADO
140,2018.1,05D,20170101470,8.2,APROVADO
141,2018.1,05D,20170032499,8.6,APROVADO
142,2018.1,05D,2015082169,0.0,REPROVADO
143,2018.1,05D,20170035712,5.7,APROVADO POR NOTA
144,2018.1,05D,20170116104,7.3,APROVADO
145,2018.1,05D,2016021856,5.7,APROVADO POR NOTA
146,2018.1,05D,20170034297,7.2,APROVADO
