,ano,turma,matricula,nota,situacao
0,2019.2,04D,20190082765,-,MATRICULADO
1,2019.2,04D,20190081721,-,MATRICULADO
2,2019.2,04D,20170133277,-,MATRICULADO
3,2019.2,04D,20190073917,-,MATRICULADO
4,2019.2,04D,20170139234,-,MATRICULADO
5,2019.2,04D,20190134001,-,MATRICULADO
6,2019.2,04D,20190072517,-,MATRICULADO
7,2019.2,04D,20190073111,-,MATRICULADO
8,2019.2,04D,20170043151,-,MATRICULADO
9,2019.2,04D,20190100021,-,MATRICULADO
10,2019.2,04D,2014002127,-,MATRICULADO
11,2019.2,04D,20180136586,-,MATRICULADO
12,2019.2,04D,20180108803,-,MATRICULADO
13,2019.2,04D,20180135300,-,MATRICULADO
14,2019.2,04D,20170030510,-,MATRICULADO
15,2019.2,04D,20180156650,-,MATRICULADO
16,2019.2,04D,20170138783,-,MATRICULADO
17,2019.2,04D,20190080958,-,MATRICULADO
18,2019.2,04D,20180105866,-,MATRICULADO
19,2019.2,04D,20190077676,-,MATRICULADO
20,2019.2,04D,20190079053,-,MATRICULADO
21,2019.2,04D,20190079779,-,MATRICULADO
22,2019.2,04D,20190083127,-,MATRICULADO
23,2019.2,04D,20190080591,-,MATRICULADO
24,2019.2,04D,20190079830,-,MATRICULADO
25,2019.2,04D,20160142405,-,MATRICULADO
26,2019.2,04D,20190084429,-,MATRICULADO
27,2019.2,04D,20180041910,-,MATRICULADO
28,2019.2,04D,20190074039,-,MATRICULADO
29,2019.2,04D,20190072750,-,MATRICULADO
30,2019.2,04B,20170139510,-,MATRICULADO
31,2019.2,04B,20190073550,-,MATRICULADO
32,2019.2,04B,20190132606,-,MATRICULADO
33,2019.2,04B,20190010621,-,MATRICULADO
34,2019.2,04B,20180157648,-,MATRICULADO
35,2019.2,04B,20180156829,-,MATRICULADO
36,2019.2,04B,20170139127,-,MATRICULADO
37,2019.2,04B,20190078172,-,MATRICULADO
38,2019.2,04B,20190069333,-,MATRICULADO
39,2019.2,04B,20190073158,-,MATRICULADO
40,2019.2,04B,20180136530,-,MATRICULADO
41,2019.2,04B,20190072615,-,MATRICULADO
42,2019.2,04B,20180136639,-,MATRICULADO
43,2019.2,04B,20190100326,-,MATRICULADO
44,2019.2,04B,20190141472,-,MATRICULADO
45,2019.2,04B,20180156758,-,MATRICULADO
46,2019.2,04B,20170115500,-,MATRICULADO
47,2019.2,04B,20190072277,-,MATRICULADO
48,2019.2,04B,20180034414,-,MATRICULADO
49,2019.2,04B,20190069351,-,MATRICULADO
50,2019.2,04B,20190069398,-,MATRICULADO
51,2019.2,04B,20190082086,-,MATRICULADO
52,2019.2,04B,20190080519,-,MATRICULADO
53,2019.2,04B,2013091285,-,MATRICULADO
54,2019.2,04B,20180110347,-,MATRICULADO
55,2019.2,04B,20180128029,-,MATRICULADO
56,2019.2,04B,20170138308,-,MATRICULADO
57,2019.2,04B,20190069576,-,MATRICULADO
58,2019.2,05C,20170036836,-,MATRICULADO
59,2019.2,05C,20190084026,-,MATRICULADO
60,2019.2,05C,20180136138,-,MATRICULADO
61,2019.2,05C,20160153614,-,MATRICULADO
62,2019.2,05C,20190101940,-,MATRICULADO
63,2019.2,05C,20190074351,-,MATRICULADO
64,2019.2,05C,20190074950,-,MATRICULADO
65,2019.2,05C,20180108287,-,MATRICULADO
66,2019.2,05C,20160158610,-,MATRICULADO
67,2019.2,05C,20170147497,-,MATRICULADO
68,2019.2,05C,20180156918,-,MATRICULADO
69,2019.2,05C,20190003500,-,MATRICULADO
70,2019.2,05C,20190080232,-,MATRICULADO
71,2019.2,05C,20170036255,-,MATRICULADO
72,2019.2,05C,20170044112,-,MATRICULADO
