"__v",_id,classificacao,dificuldade,enunciado,enunciadoLatex,likes,oculta,resultados.0._id,resultados.0.entradas.0,resultados.0.entradas.1,resultados.0.entradas.10,resultados.0.entradas.11,resultados.0.entradas.12,resultados.0.entradas.13,resultados.0.entradas.14,resultados.0.entradas.15,resultados.0.entradas.16,resultados.0.entradas.17,resultados.0.entradas.18,resultados.0.entradas.19,resultados.0.entradas.2,resultados.0.entradas.20,resultados.0.entradas.21,resultados.0.entradas.22,resultados.0.entradas.23,resultados.0.entradas.24,resultados.0.entradas.25,resultados.0.entradas.26,resultados.0.entradas.27,resultados.0.entradas.28,resultados.0.entradas.29,resultados.0.entradas.3,resultados.0.entradas.30,resultados.0.entradas.31,resultados.0.entradas.32,resultados.0.entradas.33,resultados.0.entradas.34,resultados.0.entradas.35,resultados.0.entradas.36,resultados.0.entradas.37,resultados.0.entradas.38,resultados.0.entradas.39,resultados.0.entradas.4,resultados.0.entradas.40,resultados.0.entradas.41,resultados.0.entradas.42,resultados.0.entradas.43,resultados.0.entradas.44,resultados.0.entradas.45,resultados.0.entradas.46,resultados.0.entradas.47,resultados.0.entradas.48,resultados.0.entradas.49,resultados.0.entradas.5,resultados.0.entradas.50,resultados.0.entradas.51,resultados.0.entradas.52,resultados.0.entradas.53,resultados.0.entradas.54,resultados.0.entradas.55,resultados.0.entradas.56,resultados.0.entradas.57,resultados.0.entradas.58,resultados.0.entradas.59,resultados.0.entradas.6,resultados.0.entradas.60,resultados.0.entradas.61,resultados.0.entradas.62,resultados.0.entradas.63,resultados.0.entradas.64,resultados.0.entradas.65,resultados.0.entradas.66,resultados.0.entradas.67,resultados.0.entradas.68,resultados.0.entradas.69,resultados.0.entradas.7,resultados.0.entradas.70,resultados.0.entradas.71,resultados.0.entradas.72,resultados.0.entradas.73,resultados.0.entradas.74,resultados.0.entradas.75,resultados.0.entradas.76,resultados.0.entradas.77,resultados.0.entradas.78,resultados.0.entradas.79,resultados.0.entradas.8,resultados.0.entradas.80,resultados.0.entradas.9,resultados.0.saida,resultados.1._id,resultados.1.entradas.0,resultados.1.entradas.1,resultados.1.entradas.10,resultados.1.entradas.11,resultados.1.entradas.12,resultados.1.entradas.13,resultados.1.entradas.14,resultados.1.entradas.15,resultados.1.entradas.16,resultados.1.entradas.17,resultados.1.entradas.18,resultados.1.entradas.19,resultados.1.entradas.2,resultados.1.entradas.20,resultados.1.entradas.21,resultados.1.entradas.22,resultados.1.entradas.23,resultados.1.entradas.24,resultados.1.entradas.25,resultados.1.entradas.26,resultados.1.entradas.27,resultados.1.entradas.28,resultados.1.entradas.29,resultados.1.entradas.3,resultados.1.entradas.30,resultados.1.entradas.31,resultados.1.entradas.32,resultados.1.entradas.33,resultados.1.entradas.34,resultados.1.entradas.35,resultados.1.entradas.36,resultados.1.entradas.37,resultados.1.entradas.38,resultados.1.entradas.39,resultados.1.entradas.4,resultados.1.entradas.40,resultados.1.entradas.41,resultados.1.entradas.42,resultados.1.entradas.43,resultados.1.entradas.44,resultados.1.entradas.45,resultados.1.entradas.46,resultados.1.entradas.47,resultados.1.entradas.48,resultados.1.entradas.49,resultados.1.entradas.5,resultados.1.entradas.50,resultados.1.entradas.51,resultados.1.entradas.52,resultados.1.entradas.53,resultados.1.entradas.54,resultados.1.entradas.55,resultados.1.entradas.56,resultados.1.entradas.57,resultados.1.entradas.58,resultados.1.entradas.59,resultados.1.entradas.6,resultados.1.entradas.60,resultados.1.entradas.61,resultados.1.entradas.62,resultados.1.entradas.63,resultados.1.entradas.64,resultados.1.entradas.65,resultados.1.entradas.66,resultados.1.entradas.67,resultados.1.entradas.68,resultados.1.entradas.69,resultados.1.entradas.7,resultados.1.entradas.70,resultados.1.entradas.71,resultados.1.entradas.72,resultados.1.entradas.73,resultados.1.entradas.74,resultados.1.entradas.75,resultados.1.entradas.76,resultados.1.entradas.77,resultados.1.entradas.78,resultados.1.entradas.79,resultados.1.entradas.8,resultados.1.entradas.80,resultados.1.entradas.9,resultados.1.saida,resultados.2._id,resultados.2.entradas.0,resultados.2.entradas.1,resultados.2.entradas.10,resultados.2.entradas.11,resultados.2.entradas.12,resultados.2.entradas.13,resultados.2.entradas.14,resultados.2.entradas.15,resultados.2.entradas.16,resultados.2.entradas.17,resultados.2.entradas.18,resultados.2.entradas.19,resultados.2.entradas.2,resultados.2.entradas.20,resultados.2.entradas.21,resultados.2.entradas.22,resultados.2.entradas.23,resultados.2.entradas.24,resultados.2.entradas.25,resultados.2.entradas.26,resultados.2.entradas.27,resultados.2.entradas.28,resultados.2.entradas.29,resultados.2.entradas.3,resultados.2.entradas.30,resultados.2.entradas.31,resultados.2.entradas.32,resultados.2.entradas.33,resultados.2.entradas.34,resultados.2.entradas.35,resultados.2.entradas.36,resultados.2.entradas.37,resultados.2.entradas.38,resultados.2.entradas.39,resultados.2.entradas.4,resultados.2.entradas.40,resultados.2.entradas.41,resultados.2.entradas.42,resultados.2.entradas.43,resultados.2.entradas.44,resultados.2.entradas.45,resultados.2.entradas.46,resultados.2.entradas.47,resultados.2.entradas.48,resultados.2.entradas.49,resultados.2.entradas.5,resultados.2.entradas.50,resultados.2.entradas.51,resultados.2.entradas.52,resultados.2.entradas.53,resultados.2.entradas.54,resultados.2.entradas.55,resultados.2.entradas.56,resultados.2.entradas.57,resultados.2.entradas.58,resultados.2.entradas.59,resultados.2.entradas.6,resultados.2.entradas.60,resultados.2.entradas.61,resultados.2.entradas.62,resultados.2.entradas.63,resultados.2.entradas.64,resultados.2.entradas.65,resultados.2.entradas.66,resultados.2.entradas.67,resultados.2.entradas.68,resultados.2.entradas.69,resultados.2.entradas.7,resultados.2.entradas.70,resultados.2.entradas.71,resultados.2.entradas.72,resultados.2.entradas.73,resultados.2.entradas.74,resultados.2.entradas.75,resultados.2.entradas.76,resultados.2.entradas.77,resultados.2.entradas.78,resultados.2.entradas.79,resultados.2.entradas.8,resultados.2.entradas.80,resultados.2.entradas.9,resultados.2.saida,resultados.3._id,resultados.3.entradas.0,resultados.3.entradas.1,resultados.3.entradas.10,resultados.3.entradas.11,resultados.3.entradas.12,resultados.3.entradas.13,resultados.3.entradas.14,resultados.3.entradas.15,resultados.3.entradas.16,resultados.3.entradas.17,resultados.3.entradas.18,resultados.3.entradas.19,resultados.3.entradas.2,resultados.3.entradas.20,resultados.3.entradas.21,resultados.3.entradas.22,resultados.3.entradas.23,resultados.3.entradas.24,resultados.3.entradas.25,resultados.3.entradas.26,resultados.3.entradas.27,resultados.3.entradas.28,resultados.3.entradas.29,resultados.3.entradas.3,resultados.3.entradas.30,resultados.3.entradas.31,resultados.3.entradas.32,resultados.3.entradas.33,resultados.3.entradas.34,resultados.3.entradas.35,resultados.3.entradas.36,resultados.3.entradas.37,resultados.3.entradas.38,resultados.3.entradas.39,resultados.3.entradas.4,resultados.3.entradas.40,resultados.3.entradas.41,resultados.3.entradas.42,resultados.3.entradas.43,resultados.3.entradas.44,resultados.3.entradas.45,resultados.3.entradas.46,resultados.3.entradas.47,resultados.3.entradas.48,resultados.3.entradas.49,resultados.3.entradas.5,resultados.3.entradas.50,resultados.3.entradas.51,resultados.3.entradas.52,resultados.3.entradas.53,resultados.3.entradas.54,resultados.3.entradas.55,resultados.3.entradas.56,resultados.3.entradas.57,resultados.3.entradas.58,resultados.3.entradas.59,resultados.3.entradas.6,resultados.3.entradas.60,resultados.3.entradas.61,resultados.3.entradas.62,resultados.3.entradas.63,resultados.3.entradas.64,resultados.3.entradas.65,resultados.3.entradas.66,resultados.3.entradas.67,resultados.3.entradas.68,resultados.3.entradas.69,resultados.3.entradas.7,resultados.3.entradas.70,resultados.3.entradas.71,resultados.3.entradas.72,resultados.3.entradas.73,resultados.3.entradas.74,resultados.3.entradas.75,resultados.3.entradas.76,resultados.3.entradas.77,resultados.3.entradas.78,resultados.3.entradas.79,resultados.3.entradas.8,resultados.3.entradas.80,resultados.3.entradas.9,resultados.3.saida,resultados.4._id,resultados.4.entradas.0,resultados.4.entradas.1,resultados.4.entradas.10,resultados.4.entradas.11,resultados.4.entradas.12,resultados.4.entradas.13,resultados.4.entradas.14,resultados.4.entradas.15,resultados.4.entradas.16,resultados.4.entradas.17,resultados.4.entradas.18,resultados.4.entradas.19,resultados.4.entradas.2,resultados.4.entradas.20,resultados.4.entradas.3,resultados.4.entradas.4,resultados.4.entradas.5,resultados.4.entradas.6,resultados.4.entradas.7,resultados.4.entradas.8,resultados.4.entradas.9,resultados.4.saida,solucao,tags.0,tags.1,titulo
0,59885f8d684f4a3f78163c00,Fixação,Fácil,[L1-Q5] Escreva um programa que recebe a massa em quilos e a altura em metros de uma pessoa e calcula seu Índice de Massa Corporal (IMC).,,121,,59ad7d131ec9d13cacb45d44,90,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMC: 31.14186851211073,59ad7d131ec9d13cacb45d43,70,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMC: 21.604938271604937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"massa = lerReal(""Entre com a massa: "");
altura = lerReal(""Entre com a altura: ""); 
imc = massa / ( potencia(altura,2) ); 
escreva(""IMC: ""+imc);",,,Índice de Massa Corporal  (IMC)
0,59887121d7c3703f96fda00c,Fixação,Médio,"[L1-Q9] Implemente um programa que calcula o volume V e a área A da superfície lateral de um tronco de cone de raios a, b e altura h (expressos em valores reais). Considere pi = 3.14159265 e que a ordem de entrada de dados é raio menor, raio maior e altura respectivamente.",,99,false,5c87a65123798d040d026fa9,5,8,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V: 540.3539358 e A: 204.20352225000002,5c87a65123798d040d026faa,4,6,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V: 795.8701380000001 e A: 320.38084452219334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"var V, A, a, b, h, g, pi=3.14159265;

a = parseFloat(prompt());
b = parseFloat(prompt());
h = parseFloat(prompt());

g = Math.sqrt(Math.pow(h,2) + Math.pow(b-a,2));
A = pi*g*(b+a);
V = (pi*h/3)*(a*a + a*b + b*b);

alert(""V: "" + V + "" e A: "" + A);",operadores artitméticos,,Volume e área de superfície
0,59887c83684f4a3f78163c02,Fixação,Médio,[L1-Q12] Implemente um programa que recebe um número de 3 dígitos no formato CDU e o reescreve no formato UCD. Exemplo: 123 deve ser reescrito como 312.,,77,false,59f12316038aaa7b1efc86fa,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,59f12316038aaa7b1efc86fb,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,59f12316038aaa7b1efc86fc,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"var n = parseInt(prompt());

var u;
u=n%10;

alert(u*100+parseInt(n/10))",operadores artitméticos,,Troca de dígitos UCD
0,59888cb2d2f43b3f548ef054,Fixação,Muito fácil,"[L1-Q10] Faça um programa que recebe 2 valores e os armazena em duas variáveis inteiras ,a e b. Em seguida o programa deve efetuar a troca dos valores de forma que a variável 'a' passe a possuir o valor da variável 'b' e que a variável 'b' passe a possuir o valor da variável 'a'.  Apresente os valores iniciais e os valores finais de a e b.",,89,false,5ae25ac8241ada0408e6d4c5,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inicial: 7 2
Final: 2 7",5ae25ac8241ada0408e6d4c6,45,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inicial: 45 23
Final: 23 45",5ae25ac8241ada0408e6d4c7,78,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inicial: 78 29
Final: 29 78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"var a = parseInt(prompt());
var b  = parseInt(prompt());
var troca = a;

a= b;
b = troca;

alert(""Inicial: ""+ b + "" ""+ a+""\nFinal: ""+a+ "" ""+b)",variáveis,,Troca entre variáveis
0,59888ea5d2f43b3f548ef057,Fixação,Muito fácil,"[L1-Q11] Escreva um programa que recebe um número inteiro de horas e imprime o número equivalente em dias. Faça com que o programa apresente a parte fracionária em horas. Ex.: 60 horas = 2 dias e 12 horas. Dicas: use o operador “%” (resto da divisão); e a função divisaoInteira(dividendo,divisor).",,82,false,59ccef95df263244530b6e27,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 dias e 12 horas,59ccef95df263244530b6e26,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 dias e 0 horas,59ccef95df263244530b6e25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 dias e 5 horas,59ccef95df263244530b6e24,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 dias e 2 horas,,,,,,,,,,,,,,,,,,,,,,,,"n = lerInteiro(""Entre com um número:"");
horas = n % 24; 
dias = divisaoInteira(n,24); 
escreva(dias+"" dias e ""+horas+ "" horas"");",,,Equivalente em dias
0,599338f46fb24841cdc4ef84,Fixação,Muito fácil,"Implemente um programa que recebe um número real e calcula: o quadrado do número, caso ele seja um número negativo, ou sua raiz quadrada, caso contrário.",,2,false,59b7103f3d287d17efa79f34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raiz: 2,59b7103f3d287d17efa79f33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raiz: 1,59b7103f3d287d17efa79f32,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potencia: 12.25,59b7103f3d287d17efa79f31,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raiz: 12,59b7103f3d287d17efa79f30,-9,,,,,,,,,,,,,,,,,,,,,Potencia: 81,"var x = parseFloat(prompt());

if(x<0){
    alert(""Potencia: "" + Math.pow(x,2))
}

else{
    alert(""Raiz: "" + Math.sqrt(x))
}",,,Potência e Raiz quadrada
0,59943356a76e28186bdf566e,Fixação,Muito fácil,"[L1-Q1] Escreva um programa que exibe a seguinte mensagem na saída: ""É preciso praticar para aprender a programar.""",,2,false,59b59cedc0ef4f4aadfb41e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,É preciso praticar para aprender a programar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alert('É preciso praticar para aprender a programar.'),,,É preciso praticar
0,5994434aa76e28186bdf5672,Fixação,Fácil,"[L1-Q4] Escreva um programa que recebe um número real referente a uma medida em metros e imprima esta medida em: polegadas, pés, jardas e milhas.
Considere que uma polegada equivale à 0.0254 metros;
Um pé equivale à 0.3048 metros;
Uma jarda equivale à 0.9144 metros;
Uma milha equivale  à 1604.38 metros;",,50,false,59b9c0ba2033dc5ce6bb8354,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"polegadas: 39.37007874015748
pes: 3.280839895013123
jardas: 1.0936132983377078
milhas: 0.0006232937334048044",59b9c0ba2033dc5ce6bb8353,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"polegadas: 1377.9527559055118
pes: 114.82939632545931
jardas: 38.276465441819774
milhas: 0.02181528066916815",59b9c0ba2033dc5ce6bb8352,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"polegadas: 1
pes: 0.08333333333333333
jardas: 0.027777777777777776
milhas: 0.000015831660828482028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"var x = parseFloat(prompt(""Insira uma medida em metros: ""))

pol = x/0.0254;

ft = x/0.3048;

jar = x/0.9144;

mil = x/1604.38;

alert(""polegadas: "" + pol + ""\npes: "" + ft + ""\njardas: "" + jar + ""\nmilhas: "" + mil)",,,"Polegadas, pés, jardas e milhas."
0,5994485a487ae0183f7dbffa,Fixação,Muito fácil,"[L1-Q6] Implemente um programa que recebe um valor real referente a um raio R e calcula:  O perímetro do círculo de raio R; A área do círculo de raio R; O volume da esfera de raio R. Considere PI = 3.14159265.
Arredonde o resultado com duas casas de precisão utilizando a função Math.round(n*100)/100;
Onde n é o valor real a ser arredondado.",P = 2*\pi * R \space ;  A = \pi*R^{2} \space ; V = \frac{4}{3} * \pi*R^{3},50,false,5b7dbf4e9513a60408ac350f,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perimetro: 31.42
Area: 78.54
Volume: 523.6",5b7dbf4e9513a60408ac3510,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perimetro: 81.68
Area: 530.93
Volume: 9202.77",5b7dbf4e9513a60408ac3511,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perimetro: 138.23
Area: 1520.53
Volume: 44602.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"var raio = parseFloat(prompt());
var pi = 3.14159265;
alert(""Perimetro: ""+ Math.round(2*pi*raio*100)/100);
alert(""\nArea: ""+Math.round(pi*raio*raio*100)/100);
alert(""\nVolume: ""+Math.round(4/3*pi*raio*raio*raio*100)/100);",operadores artitméticos,,Círculo de raio R
0,5994498d0875c31866aa6922,Fixação,Muito fácil,"[L1-Q7] Escreva um programa que, dado o valor da conta de uma refeição realizada em um restaurante, calcule a comissão do garçom (10% do valor da conta) e exiba: o subtotal, a comissão do garçom e o total, todos em reais.",,55,false,59f12754c95d5d7af7d5e295,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Subtotal: 100
Comissao: 10
Total: 110",59f12754c95d5d7af7d5e296,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Subtotal: 50
Comissao: 5
Total: 55",59f12754c95d5d7af7d5e297,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Subtotal: 67
Comissao: 6.7
Total: 73.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"var conta = parseFloat(prompt());

alert(""Subtotal: ""+conta+""\nComissao: ""+conta/10+""\nTotal: ""+(conta+conta/10))",operadores artitméticos,,Comissão do garçom
