,matricula,media,min,max,QuantDisciCursadas,quantAprovado,quantReprovado,carga_total,ano,AnoIngresso,AnosMatriculado,codigo,situacao
1,2009030796,5.6,5.5,5.7,2,1.0,1.0,120,2017.1,2009.0,8,ECT2206,APROVADO
2,2009030796,5.6,5.5,5.7,2,1.0,1.0,120,2017.1,2009.0,8,ECT2302,APROVADO
3,2010035933,5.533333333333332,0.0,9.5,6,4.0,2.0,345,2017.1,2010.0,7,ECT2401,REPROVADO
6,2010035933,5.533333333333332,0.0,9.5,6,4.0,2.0,345,2017.1,2010.0,7,ECT2301,REPROVADO
8,2010038843,6.933333333333333,5.6,8.8,6,6.0,0.0,300,2017.1,2010.0,7,ECT2413,APROVADO
10,2010038843,6.933333333333333,5.6,8.8,6,6.0,0.0,300,2017.1,2010.0,7,ECT2303,APROVADO
11,2010038843,6.933333333333333,5.6,8.8,6,6.0,0.0,300,2017.1,2010.0,7,ECT2414,REPROVADO
21,2010042107,6.640000000000001,5.0,7.9,5,5.0,0.0,300,2017.1,2010.0,7,ECT2302,APROVADO
38,2010044053,7.44,5.8,9.1,5,5.0,0.0,315,2017.1,2010.0,7,ECT2302,APROVADO
40,2010044053,7.44,5.8,9.1,5,5.0,0.0,315,2017.1,2010.0,7,ECT2412,REPROVADO
57,2011006383,3.6833333333333336,0.6,7.0,6,3.0,3.0,375,2017.1,2011.0,6,ECT2401,REPROVADO
58,2011006383,3.6833333333333336,0.6,7.0,6,3.0,3.0,375,2017.1,2011.0,6,ECT2302,APROVADO
59,2011006383,3.6833333333333336,0.6,7.0,6,3.0,3.0,375,2017.1,2011.0,6,ECT2304,APROVADO
60,2011006383,3.6833333333333336,0.6,7.0,6,3.0,3.0,375,2017.1,2011.0,6,ECT2206,APROVADO
64,2011006605,1.65,0.1,5.1,4,1.0,3.0,210,2017.1,2011.0,6,ECT2206,APROVADO
66,2011006866,4.957142857142857,0.3,9.5,7,4.0,3.0,390,2017.1,2011.0,6,ECT2201,APROVADO
67,2011006866,4.957142857142857,0.3,9.5,7,4.0,3.0,390,2017.1,2011.0,6,ECT2204,REPROVADO
77,2011007012,5.82,4.5,8.0,5,4.0,1.0,270,2017.1,2011.0,6,ECT2403,APROVADO
79,2011007219,0.3,0.3,0.3,1,0.0,1.0,60,2017.1,2011.0,6,ECT2302,APROVADO
