UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
SISTEMA INTEGRADO DE GESTÃO DE ATIVIDADES ACADÊMICAS
RELATÓRIO DE NOTAS SEMESTRAIS
CURSO;CIÊNCIAS E TECNOLOGIA/ECT - NATAL - BACHARELADO
ANO;2016

Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T34 (25/07/2016 - 25/09/2016);20160146899;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;3550015-0;36T12 (25/07/2016 - 10/12/2016);20160146899;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;2196137-1;2356T34 (26/09/2016 - 10/12/2016);20160146899;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2275848-0;2M12  25T12 (25/07/2016 - 10/12/2016);20160146899;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1746024-9;4T12 (25/07/2016 - 17/12/2016);20160146899;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T34 (25/07/2016 - 17/12/2016);20160146899;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7,1756325-1;2356N34 (25/07/2016 - 25/09/2016);20160147706;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;04;5527487-2,2340200-0;36N12 (25/07/2016 - 10/12/2016);20160147706;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N34 (26/09/2016 - 10/12/2016);20160147706;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;04A;2276666-1,2255011-1;2T56  25N12 (25/07/2016 - 10/12/2016);20160147706;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1746024-9;4N12 (25/07/2016 - 17/12/2016);20160147706;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1051570-6;4N34 (25/07/2016 - 17/12/2016);20160147706;-;EXCLUIDA;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014024714;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2010037014;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014026049;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014038710;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014019661;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013065169;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012921839;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012919536;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012927681;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013070679;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014038415;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2010042840;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014047791;-;CANCELADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012924993;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013064199;-;CANCELADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013050587;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013070490;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013024175;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012920949;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013073240;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014042436;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013018561;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014025678;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013080826;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014028301;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014024812;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014023922;-;EXCLUIDA;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013019513;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012924554;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012927190;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2010039432;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2010037600;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014028947;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013073160;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012918459;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014025776;-;CANCELADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012920116;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014040208;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014028357;-;CANCELADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013063880;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013020120;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012927117;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014027583;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2011010994;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2011007219;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013090804;-;CANCELADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2011011884;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2014028849;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2013072744;-;APROVADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012923118;-;CANCELADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012921490;-;CANCELADO;
2;BCT0001;ATIVIDADE COMPLEMENTAR;-;-;-;2012920591;-;APROVADO;
