UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
SISTEMA INTEGRADO DE GESTÃO DE ATIVIDADES ACADÊMICAS
RELATÓRIO DE NOTAS SEMESTRAIS
CURSO;CIÊNCIAS E TECNOLOGIA/ECT - NATAL - BACHARELADO
ANO;2017

Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170148510;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170148510;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170148510;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170148510;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170148510;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170148510;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170148538;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170148538;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170148538;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148538;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148538;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148538;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170148556;6.30;REPROVADO POR NOTA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170148556;1.60;REPROVADO;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170148556;0.00;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148556;7.90;APROVADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148556;9.40;APROVADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148556;10.00;APROVADO;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170148592;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170148592;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170148592;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148592;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148592;-;CANCELADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148592;-;CANCELADO;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170148618;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170148618;7.00;APROVADO;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170148618;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148618;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148618;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148618;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170148636;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170148636;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170148636;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148636;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148636;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148636;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170148654;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170148654;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170148654;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148654;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148654;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148654;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170148690;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170148690;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170148690;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148690;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148690;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148690;0.20;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170148716;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170148716;-;DESISTENCIA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170148716;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148716;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148716;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148716;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170148752;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170148752;-;DESISTENCIA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170148752;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170148752;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170148752;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170148752;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170148832;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170148832;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170148832;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170148832;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170148832;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170148832;-;TRANCADO;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170148879;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170148879;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170148879;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170148879;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170148879;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170148879;-;EXCLUIDA;
