periodo;codigo;nome;turma;siape;horário;matricula;nota;situação
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001146;2.10;REPROVADO
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001146;-;TRANCADO
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001146;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001146;-;TRANCADO
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001146;6.90;APROVADO POR NOTA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001146;7.40;APROVADO
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180002303;-;CANCELADO
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180002303;-;CANCELADO
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180002303;-;CANCELADO
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180002303;-;CANCELADO
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180002303;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180002303;-;CANCELADO
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180002063;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180002063;-;TRANCADO
