periodo;codigo;nome;turma;siape;horario;matricula;nota;situacao
2;ECT2101;PRÉ-CÁLCULO;4;1508148-8;2356N12 (30/07/2018 - 05/10/2018);20180148166;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (30/07/2018 - 15/12/2018);20180148166;-;DESISTENCIA
2;ECT2103;CÁLCULO I;4;2141197-4;2356N12 (08/10/2018 - 15/12/2018);20180148166;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;04A;2275848-0,1255011-8;7M12  25N34 (30/07/2018 - 22/12/2018);20180148166;-;DESISTENCIA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (30/07/2018 - 15/12/2018);20180148166;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (30/07/2018 - 15/12/2018);20180148166;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356T12 (30/07/2018 - 05/10/2018);20180148184;5.00;APROVADO POR NOTA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1756325-1;36T34 (30/07/2018 - 15/12/2018);20180148184;-;EXCLUIDA
2;ECT2103;CÁLCULO I;1;1091102-4;2356T12 (08/10/2018 - 15/12/2018);20180148184;9.70;APROVADO
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (30/07/2018 - 22/12/2018);20180148184;-;DESISTENCIA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (30/07/2018 - 15/12/2018);20180148184;6.90;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1051570-6;4T12 (30/07/2018 - 15/12/2018);20180148184;7.30;APROVADO
2;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356T12 (30/07/2018 - 05/10/2018);20180148200;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1756325-1;36T34 (30/07/2018 - 15/12/2018);20180148200;-;DESISTENCIA
2;ECT2103;CÁLCULO I;1;1091102-4;2356T12 (08/10/2018 - 15/12/2018);20180148200;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (30/07/2018 - 22/12/2018);20180148200;-;DESISTENCIA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (30/07/2018 - 15/12/2018);20180148200;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1051570-6;4T12 (30/07/2018 - 15/12/2018);20180148200;-;DESISTENCIA
