periodo,codigo,nome,turma,siape,horario,matricula,nota,situacao
1,ECT2101,PRÉ-CÁLCULO,1,3550015-0,2356M34 (11/02/2019 - 19/04/2019),20190002880,-,DESISTENCIA
1,ECT2102,VETORES E GEOMETRIA ANALÍTICA,1,2571630-3,25M56 (11/02/2019 - 29/06/2019),20190002880,-,DESISTENCIA
1,ECT2103,CÁLCULO I,1,1671983-4,2356M34 (22/04/2019 - 29/06/2019),20190002880,-,DESISTENCIA
1,ECT2104,QUÍMICA GERAL,01A,1523912-0,2M12 36M56 (11/02/2019 - 29/06/2019),20190002880,-,DESISTENCIA
1,ECT2105,PRÁTICAS DE LEITURA E ESCRITA I,1,1746024-9,4M56 (11/02/2019 - 29/06/2019),20190002880,-,DESISTENCIA
1,ECT2106,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",1,1051570-6,4M34 (11/02/2019 - 29/06/2019),20190002880,-,DESISTENCIA
1,ECT2101,PRÉ-CÁLCULO,1,3550015-0,2356M34 (11/02/2019 - 19/04/2019),20190002924,-,DESISTENCIA
1,ECT2102,VETORES E GEOMETRIA ANALÍTICA,1,2571630-3,25M56 (11/02/2019 - 29/06/2019),20190002924,-,DESISTENCIA
1,ECT2103,CÁLCULO I,1,1671983-4,2356M34 (22/04/2019 - 29/06/2019),20190002924,-,DESISTENCIA
1,ECT2104,QUÍMICA GERAL,01A,1523912-0,2M12 36M56 (11/02/2019 - 29/06/2019),20190002924,-,DESISTENCIA
1,ECT2105,PRÁTICAS DE LEITURA E ESCRITA I,1,1746024-9,4M56 (11/02/2019 - 29/06/2019),20190002924,-,DESISTENCIA
1,ECT2106,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",1,1051570-6,4M34 (11/02/2019 - 29/06/2019),20190002924,-,DESISTENCIA
1,ECT2101,PRÉ-CÁLCULO,1,3550015-0,2356M34 (11/02/2019 - 19/04/2019),20190002942,-,EXCLUIDA
1,ECT2102,VETORES E GEOMETRIA ANALÍTICA,1,2571630-3,25M56 (11/02/2019 - 29/06/2019),20190002942,-,EXCLUIDA
1,ECT2103,CÁLCULO I,1,1671983-4,2356M34 (22/04/2019 - 29/06/2019),20190002942,-,EXCLUIDA
1,ECT2104,QUÍMICA GERAL,01A,1523912-0,2M12 36M56 (11/02/2019 - 29/06/2019),20190002942,-,EXCLUIDA
1,ECT2105,PRÁTICAS DE LEITURA E ESCRITA I,1,1746024-9,4M56 (11/02/2019 - 29/06/2019),20190002942,-,EXCLUIDA
1,ECT2106,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",1,1051570-6,4M34 (11/02/2019 - 29/06/2019),20190002942,7.10,APROVADO
