"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57612671";"01";"5755233";;;"63494";"LATO SENSU";;"Auditório do DEF e Sala de Danças do COESPE UFRN";"2018";"2";"2018-07-10";"2018-07-11";"4M2345  4T3456  3N2345 4N234";"0";"82";"REGULAR";"false";;"false";;;"EXCLUÍDA";;"Presencial"
"57612672";"01";"5755233";;;"63508";"LATO SENSU";;"Auditório do DEF e Sala de Danças do COESPE UFRN";"2018";"2";"2018-07-12";"2018-07-14";"567M2345  567T3456  56N234 (12/07/2018 - 14/07/2018)";;"82";"REGULAR";"false";"2018-10-31 23:45:07";"false";;"30";"CONSOLIDADA";;"Presencial"
"57612672";"01";;"126788033";;"63508";"LATO SENSU";;"Auditório do DEF e Sala de Danças do COESPE UFRN";"2018";"2";"2018-07-12";"2018-07-14";"567M2345  567T3456  56N234 (12/07/2018 - 14/07/2018)";;"82";"REGULAR";"false";"2018-10-31 23:45:07";"false";;"30";"CONSOLIDADA";;"Presencial"
"57612674";"01";"5752677";;;"63495";"LATO SENSU";;"Auditório do DEF e Sala de Danças do COESPE UFRN";"2018";"2";"2018-07-15";"2018-07-16";"1M2345  1T3456 2T456  2N2345";;"82";"REGULAR";"false";"2018-08-28 09:47:12";"false";;"15";"CONSOLIDADA";;"Presencial"
"57612675";"01";"5753703";;;"63509";"LATO SENSU";;"Sala da Pós-Graduação";"2018";"2";"2018-07-17";"2018-07-29";"7M2345  7T3456  23456N234 (17/07/2018 - 29/07/2018)";;"82";"REGULAR";"false";"2018-09-11 12:14:29";"false";;"43";"CONSOLIDADA";;"Presencial"
"57612675";"01";"5755233";;;"63509";"LATO SENSU";;"Sala da Pós-Graduação";"2018";"2";"2018-07-17";"2018-07-29";"7M2345  7T3456  23456N234 (17/07/2018 - 29/07/2018)";;"82";"REGULAR";"false";"2018-09-11 12:14:29";"false";;"43";"CONSOLIDADA";;"Presencial"
"57612943";"01";"5755045";;;"65166";"LATO SENSU";;"Sala 227, 1º andar do CTEC";"2018";"2";"2018-08-03";"2018-09-29";"7M2345  7T2345  6N1234";;"44";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57612944";"01";"24702";;;"62185";"LATO SENSU";;"Sala 227, 1º andar do CTEC";"2018";"2";"2018-08-04";"2018-09-29";"7M2345  7T2345  6N1234";;"44";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57612945";"01";"5757094";;;"65165";"LATO SENSU";;"Sala 227, 1º andar do CTEC";"2018";"2";"2018-10-05";"2018-12-08";"7M45  7T2345 (05/10/2018 - 08/12/2018)";;"44";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57612946";"01";"25852";;;"62177";"LATO SENSU";;"Sala 231, 1º andar do CTEC";"2018";"2";"2018-10-05";"2018-12-08";"7M23  6N1234 (05/10/2018 - 08/12/2018)";;"44";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57623389";"01";;"128572410";;"67081";"LATO SENSU";;"ESCOLA DE SAÚDE";"2018";"2";"2018-10-20";"2018-12-15";"7M2345  7T2345  6N1234";;"55";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57623389";"01";;"128572424";;"67081";"LATO SENSU";;"ESCOLA DE SAÚDE";"2018";"2";"2018-10-20";"2018-12-15";"7M2345  7T2345  6N1234";;"55";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57623389";"01";;"128603851";;"67081";"LATO SENSU";;"ESCOLA DE SAÚDE";"2018";"2";"2018-10-20";"2018-12-15";"7M2345  7T2345  6N1234";;"55";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57623389";"01";"5759245";;;"67081";"LATO SENSU";;"ESCOLA DE SAÚDE";"2018";"2";"2018-10-20";"2018-12-15";"7M2345  7T2345  6N1234";;"55";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57623390";"01";"5756820";;;"67066";"LATO SENSU";;"ESCOLA DE SAÚDE";"2018";"2";"2018-10-05";"2018-10-20";"7M2345  7T2345  6N1234";;"55";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
